date,open,high,low,close,volume,index_name
2024-02-21,21177.69921875,21197.400390625,21100.69921875,21172.400390625,205207700,TSX
2024-02-22,21260.0,21365.400390625,21260.0,21318.099609375,228936600,TSX
2024-02-23,21314.599609375,21440.400390625,21274.400390625,21413.19921875,221386200,TSX
2024-02-26,21391.69921875,21449.900390625,21300.80078125,21324.30078125,228851800,TSX
2024-02-27,21304.30078125,21346.400390625,21264.5,21318.900390625,224618300,TSX
2024-02-28,21296.900390625,21329.5,21239.900390625,21243.80078125,169901600,TSX
2024-02-29,21299.0,21382.30078125,21287.099609375,21363.599609375,465797000,TSX
2024-03-01,21394.19921875,21605.0,21394.19921875,21552.400390625,258838300,TSX
2024-03-04,21546.5,21584.599609375,21491.30078125,21531.099609375,224641800,TSX
2024-03-05,21517.900390625,21623.0,21489.69921875,21525.900390625,261291200,TSX
2024-03-06,21580.599609375,21712.69921875,21546.599609375,21594.0,205464500,TSX
2024-03-07,21629.099609375,21799.5,21629.099609375,21794.599609375,193764600,TSX
2024-03-08,21815.0,21892.099609375,21694.099609375,21737.5,230381100,TSX
2024-03-11,21697.5,21781.5,21633.900390625,21769.19921875,200188300,TSX
2024-03-12,21786.099609375,21840.599609375,21716.400390625,21831.0,212991900,TSX
2024-03-13,21838.099609375,22008.599609375,21838.099609375,21970.099609375,268151700,TSX
2024-03-14,21954.80078125,21954.80078125,21737.5,21829.900390625,281739300,TSX
2024-03-15,21808.80078125,21893.900390625,21788.69921875,21849.19921875,601872700,TSX
2024-03-18,21874.599609375,21874.599609375,21810.400390625,21837.19921875,233448900,TSX
2024-03-19,21842.400390625,21931.400390625,21832.69921875,21860.599609375,203251000,TSX
2024-03-20,21847.099609375,22065.900390625,21837.900390625,22045.69921875,234228600,TSX
2024-03-21,22063.099609375,22197.099609375,22063.099609375,22087.30078125,240423700,TSX
2024-03-22,22090.5,22123.099609375,21965.0,21984.099609375,186013800,TSX
2024-03-25,21968.599609375,22069.099609375,21941.0,21942.30078125,205318500,TSX
2024-03-26,21960.099609375,22037.69921875,21906.19921875,21912.5,241140400,TSX
2024-03-27,21960.400390625,22107.099609375,21953.5,22107.099609375,208095800,TSX
2024-03-28,22126.0,22220.900390625,22126.0,22167.0,245102700,TSX
2024-04-01,22186.5,22204.69921875,22110.599609375,22185.30078125,207425200,TSX
2024-04-02,22127.69921875,22127.69921875,21996.900390625,22075.099609375,239992600,TSX
2024-04-03,22063.30078125,22173.599609375,22062.69921875,22112.5,244078700,TSX
2024-04-04,22156.30078125,22239.099609375,22001.0,22051.80078125,243706600,TSX
2024-04-05,22077.69921875,22316.900390625,22077.0,22264.400390625,226864800,TSX
2024-04-08,22264.30078125,22309.69921875,22178.69921875,22260.30078125,198698200,TSX
2024-04-09,22294.5,22380.19921875,22168.599609375,22361.80078125,204403700,TSX
2024-04-10,22272.69921875,22272.69921875,22099.19921875,22199.099609375,242568000,TSX
2024-04-11,22206.599609375,22221.80078125,21985.69921875,22110.099609375,228788500,TSX
2024-04-12,22114.80078125,22208.30078125,21827.400390625,21900.0,236964400,TSX
2024-04-15,21952.69921875,22025.0,21678.599609375,21740.19921875,228341100,TSX
2024-04-16,21717.400390625,21726.19921875,21536.099609375,21642.900390625,228683400,TSX
2024-04-17,21686.599609375,21824.30078125,21568.599609375,21656.099609375,210382700,TSX
2024-04-18,21676.30078125,21799.400390625,21601.599609375,21708.400390625,208481800,TSX
2024-04-19,21710.19921875,21871.5,21679.80078125,21807.400390625,216771100,TSX
2024-04-22,21791.400390625,21930.900390625,21733.80078125,21872.0,251755000,TSX
2024-04-23,21884.599609375,22051.19921875,21854.19921875,22011.69921875,219020200,TSX
2024-04-24,21995.5,22028.69921875,21796.900390625,21873.69921875,194073200,TSX
2024-04-25,21805.099609375,21920.19921875,21638.400390625,21885.400390625,215405500,TSX
2024-04-26,21907.5,21998.0,21907.5,21969.19921875,180266400,TSX
2024-04-29,22009.0,22052.099609375,21903.099609375,22011.599609375,215065900,TSX
2024-04-30,21941.0,21958.5,21714.5,21714.5,253686700,TSX
2024-05-01,21692.0,21911.30078125,21623.69921875,21728.599609375,241507200,TSX
2024-05-02,21780.80078125,21889.30078125,21682.400390625,21823.19921875,221847800,TSX
2024-05-03,21909.599609375,21983.5,21859.69921875,21947.400390625,228985700,TSX
2024-05-06,21988.80078125,22261.69921875,21988.80078125,22259.5,234299700,TSX
2024-05-07,22279.5,22347.400390625,22261.0,22290.599609375,190099600,TSX
2024-05-08,22089.599609375,22262.0,22048.900390625,22259.19921875,220846500,TSX
2024-05-09,22287.0,22427.0,22287.0,22375.80078125,207372300,TSX
2024-05-10,22395.80078125,22470.30078125,22298.69921875,22308.900390625,242184400,TSX
2024-05-13,22323.19921875,22370.69921875,22238.30078125,22259.19921875,207788000,TSX
2024-05-14,22271.0,22309.0,22182.900390625,22243.30078125,224376000,TSX
2024-05-15,22277.0,22334.69921875,22214.599609375,22284.80078125,221116900,TSX
2024-05-16,22288.80078125,22330.0,22260.69921875,22299.80078125,191357800,TSX
2024-05-17,22326.0,22468.599609375,22301.099609375,22465.400390625,243629500,TSX
2024-05-21,22436.400390625,22555.0,22416.0,22468.19921875,264642500,TSX
2024-05-22,22434.099609375,22439.099609375,22283.5,22346.80078125,234235500,TSX
2024-05-23,22376.69921875,22421.099609375,22134.69921875,22200.80078125,240357600,TSX
2024-05-24,22220.30078125,22354.80078125,22220.30078125,22320.900390625,200498000,TSX
2024-05-27,22337.30078125,22388.900390625,22337.30078125,22373.400390625,81363000,TSX
2024-05-28,22346.900390625,22346.900390625,22209.30078125,22265.099609375,231949500,TSX
2024-05-29,22170.19921875,22170.19921875,21896.69921875,21898.0,232685600,TSX
2024-05-30,21915.30078125,22108.80078125,21915.30078125,22071.69921875,205983400,TSX
2024-05-31,22102.80078125,22271.19921875,21966.19921875,22269.099609375,373397200,TSX
2024-06-03,22262.099609375,22312.099609375,22014.900390625,22116.69921875,272252400,TSX
2024-06-04,22059.900390625,22059.900390625,21828.400390625,21978.19921875,223803600,TSX
2024-06-05,22028.30078125,22180.30078125,22028.30078125,22145.0,216727300,TSX
2024-06-06,22125.5,22235.0,22125.5,22229.099609375,198208700,TSX
2024-06-07,22139.099609375,22144.30078125,22002.69921875,22007.0,238335600,TSX
2024-06-10,21992.69921875,22105.69921875,21953.400390625,22069.80078125,227995100,TSX
2024-06-11,22011.099609375,22011.099609375,21842.900390625,21887.30078125,219585500,TSX
2024-06-12,21986.30078125,22127.69921875,21933.30078125,21961.599609375,244264400,TSX
2024-06-13,21930.80078125,21930.80078125,21680.099609375,21698.099609375,239756200,TSX
2024-06-14,21667.099609375,21667.099609375,21486.80078125,21639.099609375,224349800,TSX
